accession	cluster_30	cluster_50	cluster_70	cluster_90
P18075	P12643	P18075	P18075	P18075
P48052	P48052	P48052	P48052	P48052
Q9GZX9	Q9GZX9	Q9GZX9	Q9GZX9	Q9GZX9
P20062	P20062	P20062	P20062	P20062
P59666	P59666	P59666	P59666	P59666
Q9P0W0	Q9P0W0	Q9P0W0	Q9P0W0	Q9P0W0
P54108	P54108	P54108	P54108	P54108
P29459	P29459	P29459	P29459	P29459
P16035	P16035	P16035	P16035	P16035
P01189	P01189	P01189	P01189	P01189
P18509	P18509	P18509	P18509	P18509
Q99935	Q99935	Q99935	Q99935	Q99935
O76076	O76076	O76076	O76076	O76076
P07098	P07098	P07098	P07098	P07098
Q7Z4H4	Q7Z4H4	Q7Z4H4	Q7Z4H4	Q7Z4H4
P10145	P10145	P10145	P10145	P10145
Q6P988	Q6P988	Q6P988	Q6P988	Q6P988
O96009	P0DJD8	O96009	O96009	O96009
Q9UK05	P12643	Q9UK05	Q9UK05	Q9UK05
Q00887	Q00887	Q00887	Q00887	Q00887
P25311	P25311	P25311	P25311	P25311
P0DJD8	P0DJD8	P0DJD8	P0DJD8	P0DJD8
Q9NP95	P11487	Q9NP95	Q9NP95	Q9NP95
Q9BXI9	Q9BXJ4	Q9BXI9	Q9BXI9	Q9BXI9
Q9UKR0	P00746	Q9UKR0	Q9UKR0	Q9UKR0
Q99748	Q99748	Q99748	Q99748	Q99748
Q9BXJ1	Q9BXJ4	Q9BXI9	Q9BXJ1	Q9BXJ1
P21246	P21246	P21246	P21246	P21246
Q9H0B8	Q9H0B8	Q9H0B8	Q9H0B8	Q9H0B8
P0DJI8	P0DJI8	P0DJI8	P0DJI8	P0DJI8
Q14508	Q14508	Q14508	Q14508	Q14508
P49765	P49765	P49765	P49765	P49765
P05452	P05452	P05452	P05452	P05452
O15444	O15444	O15444	O15444	O15444
P12643	P12643	P12643	P12643	P12643
Q9UBD3	Q9UBD3	Q9UBD3	Q9UBD3	Q9UBD3
Q15782	Q15782	Q15782	Q15782	Q15782
Q9UBT3	Q9UBT3	Q9UBT3	Q9UBT3	Q9UBT3
P01241	P01241	P01241	P01241	P01241
P24387	P24387	P24387	P24387	P24387
Q9BU40	Q9BU40	Q9BU40	Q9BU40	Q9BU40
P11487	P11487	P11487	P11487	P11487
O76093	O76093	O76093	O76093	O76093
P04155	P04155	P04155	P04155	P04155
Q16568	Q16568	Q16568	Q16568	Q16568
P35030	P00746	P35030	P35030	P35030
P02743	P02743	P02743	P02743	P02743
Q9GZP0	Q9GZP0	Q9GZP0	Q9GZP0	Q9GZP0
P00709	P00709	P00709	P00709	P00709
P10163	P10163	P10163	P10163	P10163
O43827	O43827	O43827	O43827	O43827
P13501	P13501	P13501	P13501	P13501
O95972	O95972	O95972	O95972	O95972
Q16627	P13501	Q16627	Q16627	Q16627
P05113	P05113	P05113	P05113	P05113
Q9UK55	Q9UK55	Q9UK55	Q9UK55	Q9UK55
Q9NYY1	Q9NYY1	Q9NYY1	Q9NYY1	Q9NYY1
P24001	P24001	P24001	P24001	P24001
O15467	P13501	O15467	O15467	O15467
P00739	P00739	P00739	P00739	P00739
P02765	P02765	P02765	P02765	P02765
Q9Y5K2	P00746	Q9Y5K2	Q9Y5K2	Q9Y5K2
Q6UXB2	Q6UXB2	Q6UXB2	Q6UXB2	Q6UXB2
P51460	P51460	P51460	P51460	P51460
O75556	O75556	O75556	O75556	O75556
Q9UNI1	P00746	Q9UNI1	Q9UNI1	Q9UNI1
P02814	P02814	P02814	P02814	P02814
P00995	P00995	P00995	P00995	P00995
P01225	P01225	P01225	P01225	P01225
Q7Z5A7	Q7Z5A7	Q7Z5A7	Q7Z5A7	Q7Z5A7
P22891	P22891	P22891	P22891	P22891
P51671	P13501	P51671	P51671	P51671
Q9UHF5	Q9UHF5	Q9UHF5	Q9UHF5	Q9UHF5
P49763	P49765	P49763	P49763	P49763
P01308	P01308	P01308	P01308	P01308
Q9H1E1	Q9H1E1	Q9H1E1	Q9H1E1	Q9H1E1
Q6X4U4	Q6X4U4	Q6X4U4	Q6X4U4	Q6X4U4
P39905	Q99748	P39905	P39905	P39905
P02750	P02750	P02750	P02750	P02750
Q9UHD0	Q9NYY1	Q9UHD0	Q9UHD0	Q9UHD0
Q99731	P13501	Q99731	Q99731	Q99731
Q92765	Q92765	Q92765	Q92765	Q92765
P00746	P00746	P00746	P00746	P00746
O15232	O15232	O15232	O15232	O15232
O15123	O43827	O15123	O15123	O15123
Q9UBC7	Q9UBC7	Q9UBC7	Q9UBC7	Q9UBC7
Q8WUA8	Q8WUA8	Q8WUA8	Q8WUA8	Q8WUA8
P01037	P01037	P01037	P01037	P01037
Q92583	P13501	Q92583	Q92583	Q92583
P06307	P06307	P06307	P06307	P06307
P81172	P81172	P81172	P81172	P81172
Q99788	Q9Y271	Q99788	Q99788	Q99788
P41231	Q9Y271	P51582	P41231	P41231
P51681	P51681	P51681	P51681	P51681
Q9H313	Q9H313	Q9H313	Q9H313	Q9H313
O00451	O00451	O00451	O00451	O00451
P33032	Q01718	P33032	P33032	P33032
O60779	O60779	O60779	O60779	O60779
O14610	O14610	O14610	O14610	O14610
P18825	P21917	P18089	P18825	P18825
P10301	P10301	P10301	P10301	P10301
P41145	P49683	P41145	P41145	P41145
P0DTU3	P0DSE1	P0DSE1	P0DTU3	P0DTU3
O95977	Q99500	O95977	O95977	O95977
P34969	P21917	P34969	P34969	P34969
P30559	P30559	P30559	P30559	P30559
Q16581	Q16581	Q16581	Q16581	Q16581
Q8TDS7	Q8TDS7	Q8TDS7	Q8TDS7	Q8TDS7
Q969V1	Q969V1	Q969V1	Q969V1	Q969V1
P55040	P10301	P55040	P55040	P55040
Q96RI0	Q9Y271	Q96RI0	Q96RI0	Q96RI0
Q9NQS5	Q9NQS5	Q9NQS5	Q9NQS5	Q9NQS5
A6NNB3	A6NNB3	A6NNB3	A6NNB3	A6NNB3
O95274	O95274	O95274	O95274	O95274
P04201	Q8TDS7	P04201	P04201	P04201
Q8WXH6	P10301	Q8WXH6	Q8WXH6	Q8WXH6
Q9GZQ6	O43614	Q9GZQ6	Q9GZQ6	Q9GZQ6
Q96D21	P10301	Q96D21	Q96D21	Q96D21
P35414	Q9Y271	P35414	P35414	P35414
Q9HB14	Q9HB14	Q9HB14	Q9HB14	Q9HB14
Q01718	Q01718	Q01718	Q01718	Q01718
Q9NZD1	Q9NZD1	Q9NZD1	Q9NZD1	Q9NZD1
Q96EP9	Q14973	Q96EP9	Q96EP9	Q96EP9
Q9H228	Q99500	Q9H228	Q9H228	Q9H228
P32248	P51681	P32248	P32248	P32248
Q96P65	Q96P65	Q96P65	Q96P65	Q96P65
P29274	P30542	P29274	P29274	P29274
Q13324	Q13324	Q13324	Q13324	Q13324
O14817	O14817	O14817	O14817	O14817
O14842	O14842	O14842	O14842	O14842
Q8TEZ7	Q6TCH4	Q8TEZ7	Q8TEZ7	Q8TEZ7
O95859	O14817	O95859	O95859	O95859
P25025	P51681	P25025	P25025	P25025
P41586	P41586	P41586	P41586	P41586
Q9UBL9	Q9UBL9	Q9UBL9	Q9UBL9	Q9UBL9
Q86WB7	Q86WB7	Q86WB7	Q86WB7	Q86WB7
Q9UNW8	Q9UNW8	Q9UNW8	Q9UNW8	Q9UNW8
Q9UBI6	Q9UBI6	Q9UBI6	Q9UBI6	Q9UBI6
P49146	P49683	P49146	P49146	P49146
P55085	Q9Y271	P55085	P55085	P55085
O14804	O14804	O14804	O14804	O14804
P43353	P43353	P30838	P43353	P43353
Q9Y5N1	Q9Y5N1	Q9Y5N1	Q9Y5N1	Q9Y5N1
P29972	P29972	P29972	P29972	P29972
Q8N912	Q8N912	Q8N912	Q8N912	Q8N912
Q96SA4	Q96SA4	Q96SA4	Q96SA4	Q96SA4
Q9Y271	Q9Y271	Q9Y271	Q9Y271	Q9Y271
P47898	P47898	P47898	P47898	P47898
Q99705	Q969V1	Q99705	Q99705	Q99705
O15374	O15374	O15374	O15374	O15374
Q9NR22	Q96LA8	Q9NR22	Q9NR22	Q9NR22
P49286	P49286	P49286	P49286	P49286
P62955	P62955	P62955	P62955	P62955
P51685	P51681	P51685	P51685	P51685
P29275	P30542	P29274	P29275	P29275
P50391	P49683	P50391	P50391	P50391
Q9NP94	Q9NP94	Q9NP94	Q9NP94	Q9NP94
Q8N5I2	Q8N5I2	Q8N5I2	Q8N5I2	Q8N5I2
O43614	O43614	O43614	O43614	O43614
Q6PIU1	Q6PIU1	Q6PIU1	Q6PIU1	Q6PIU1
Q8NG11	Q8NG11	Q8NG11	Q8NG11	Q8NG11
P28566	P47898	P28566	P28566	P28566
Q9BXC0	Q9BXC0	Q9BXC0	Q9BXC0	Q9BXC0
P13945	P21917	P13945	P13945	P13945
P35346	P49683	P35346	P35346	P35346
Q96L08	Q96L08	Q96L08	Q96L08	Q96L08
Q86SM8	Q8TDS7	Q86SM8	Q86SM8	Q86SM8
Q5MY95	Q5MY95	Q5MY95	Q5MY95	Q5MY95
P46091	Q9Y271	P46091	P46091	P46091
O00161	O00161	O00161	O00161	O00161
Q6UXV0	Q6UXV0	Q6UXV0	Q6UXV0	Q6UXV0
Q0D2K0	Q0D2K0	Q0D2K0	Q0D2K0	Q0D2K0
Q9UIA0	Q9UIA0	Q9UIA0	Q9UIA0	Q9UIA0
P31321	P31321	P31321	P31321	P31321
Q9P2W3	Q9P2W3	Q9P2W3	Q9P2W3	Q9P2W3
P33241	P33241	P33241	P33241	P33241
Q8NC24	Q8NC24	Q8NC24	Q8NC24	Q8NC24
Q5R3K3	Q5R3K3	Q5R3K3	Q5R3K3	Q5R3K3
P0DSE1	P0DSE1	P0DSE1	P0DSE1	P0DSE1
Q96LB2	Q8TDS7	Q96LB2	Q96LB2	Q96LB2
Q8NG98	Q15617	Q8NG98	Q8NG98	Q8NG98
P63211	O14610	O14610	P63211	P63211
P35408	P35408	P35408	P35408	P35408
P49683	P49683	P49683	P49683	P49683
P51582	Q9Y271	P51582	P51582	P51582
Q8TDT2	Q8TDT2	Q8TDT2	Q8TDT2	Q8TDT2
P34998	Q13324	Q13324	Q13324	P34998
Q16602	Q13324	Q16602	Q16602	Q16602
Q96T54	Q96T54	Q96T54	Q96T54	Q96T54
O60906	O60906	O60906	O60906	O60906
Q9HCJ1	Q9HCJ1	Q9HCJ1	Q9HCJ1	Q9HCJ1
Q6TCH4	Q6TCH4	Q6TCH4	Q6TCH4	Q6TCH4
Q9Y2T6	Q9Y2T6	Q9Y2T6	Q9Y2T6	Q9Y2T6
Q96CP7	Q96CP7	Q96CP7	Q96CP7	Q96CP7
Q8NGI8	Q15617	Q8NGI8	Q8NGI8	Q8NGI8
P18089	P21917	P18089	P18089	P18089
P29371	P49683	P29371	P29371	P29371
H3BV60	H3BV60	H3BV60	H3BV60	H3BV60
P21917	P21917	P21917	P21917	P21917
P43088	P43088	P43088	P43088	P43088
Q6N075	Q6N075	Q6N075	Q6N075	Q6N075
Q8NFU0	Q8NFU0	Q8NFU0	Q8NFU0	Q8NFU0
Q9P121	Q9P121	Q9P121	Q9P121	Q9P121
P25116	Q9Y271	P25116	P25116	P25116
Q969F8	P49683	Q969F8	Q969F8	Q969F8
P30872	P49683	P35346	P30872	P30872
Q8N7C0	Q8N7C0	Q8N7C0	Q8N7C0	Q8N7C0
O95057	P10301	O95057	O95057	O95057
P46663	P46663	P46663	P46663	P46663
Q9GZQ4	Q969V1	Q9GZQ4	Q9GZQ4	Q9GZQ4
Q96E17	P10301	Q96E17	Q96E17	Q96E17
Q99500	Q99500	Q99500	Q99500	Q99500
Q7Z602	Q7Z602	Q7Z602	Q7Z602	Q7Z602
P46094	P51681	P46094	P46094	P46094
P28221	P47898	P28221	P28221	P28221
P13498	P13498	P13498	P13498	P13498
P32247	P49683	P32247	P32247	P32247
P19075	O14817	P19075	P19075	P19075
P49019	Q9BXC0	Q9BXC0	P49019	P49019
Q96IZ2	Q96IZ2	Q96IZ2	Q96IZ2	Q96IZ2
Q6U736	Q6U736	Q6U736	Q6U736	Q6U736
P30542	P30542	P29274	P30542	P30542
Q15617	Q15617	Q15617	Q15617	Q15617
P54920	P54920	P54920	P54920	P54920
Q14973	Q14973	Q14973	Q14973	Q14973
P55042	P10301	P55040	P55042	P55042
Q9BSF0	Q9BSF0	Q9BSF0	Q9BSF0	Q9BSF0
P47900	Q9Y271	P47900	P47900	P47900
Q9NS75	Q9Y271	Q9NS75	Q9NS75	Q9NS75
O43603	P49683	O43603	O43603	O43603
Q9HA72	Q5R3K3	Q9HA72	Q9HA72	Q9HA72
