representative	member
E9PQX1	E9PQX1
F5H094	F5H094
F5H094	Q9Y6L6
H0YL14	H0YL14
O00258	O00258
O00341	O00341
O00341	P43005
O00341	P43007
O00501	O00501
O00501	O15551
O00501	P56880
O14523	O14523
O14653	O14653
O14681	O14681
O14735	O14735
O15155	O15155
O15229	O15229
O15243	O15243
O15258	O15258
O15374	O15374
O15466	O15466
O15466	Q92185
O15466	Q92187
O15552	O15552
O15552	O15529
O15552	O14843
O43169	O43169
O05512	O05512
O05512	P16699
P02925	P02925
P02925	P0A2C5
P02925	P44737
P02925	P39325
P08191	P08191
P0ABL3	P0ABL3
P0ABL3	P44654
P0ABL3	P39186
P0AES9	P0AES9
P0AES9	Q2YK18
P0AET2	P0AET2
P0AFM2	P0AFM2
P25718	P25718
P37028	P37028
P37902	P37902
P39172	P39172
P39172	P44526
P39848	P39848
O34344	O34344
P04189	P04189
P04189	P08594
P0A855	P0A855
P0A940	P0A940
P0AAX8	P0AAX8
P0AAX8	P39176
P0AD70	P0AD70
P0AEG4	P0AEG4
P0AEM9	P0AEM9
P0AEM9	P30859
P0AEM9	P30860
P0AEM9	P0AEQ3
P0AEM9	P0AEU0
P0AEM9	P09551
P0AEM9	P02910
P0AEM9	P45091
P0AEM9	Q0P9X8
P0C0T5	P0C0T5
P23847	P23847
P24228	P24228
P26648	P26648
P26648	P36649
P64534	P64534
P77214	P77214
P77348	P77348
P77348	P06202
P77348	P23843
P77754	P77754
P94522	P94522
P94522	P95470
Q79F14	Q79F14
P09394	P09394
P0A910	P0A910
P0A910	A0A2S4N3N0
P0A910	P38399
P0A910	P38368
P0A910	P45996
P0A921	P0A921
P0ADE4	P0ADE4
P0AEX9	P0AEX9
P13036	P13036
P13482	P13482
A0A1W7HCY1	A0A1W7HCY1
A6QEK3	A6QEK3
A6QEK3	P64313
A6QEK3	Q5HIC4
A6QEK3	Q6GJB7
A6QEK3	P64312
A6QEK3	Q2FJ89
A6QEK3	Q8NXY2
A6QEK3	A6TZ28
A6QEK3	Q2G0M7
A6QEK3	Q2YSB0
A6QEK3	P31658
A6QEK3	B7NBV8
A6QEK3	P59331
A6QEK3	A7ZN88
A6QEK3	B1IZU5
A6QEK3	B2TWL8
A6QEK3	B5YSJ3
A6QEK3	B7MCM0
A6QEK3	B7MWF3
A6QEK3	B7NRB5
A6QEK3	C4ZQN7
A6QEK3	Q8XB78
A6QEK3	B1X6B7
A6QEK3	B7L8Y4
A6QEK3	A1ACB2
A6QEK3	B1LQP2
A6QEK3	P59332
A6QEK3	Q0T3G3
A6QEK3	Q0TGM8
A6QEK3	Q1RAH5
A6QEK3	Q3Z0M5
A6QEK3	Q02IV5
A6QEK3	B7UX51
A8FNH9	A8FNH9
A9CI74	A9CI74
A9CI74	Q92PZ7
I7CA98	I7CA98
J8G6Z1	J8G6Z1
O50146	O50146
O69652	O69652
P04042	P04042
P04042	P07330
P06736	P06736
P06736	P55132
P0A006	P0A006
P0A006	P45947
P0A1C1	P0A1C1
P0A1C1	P0A1B9
P0A1C1	P74857
P0A1C1	P40290
P0A2I3	P0A2I3
P0A2I3	P0AES6
P0A2I3	A0QNE0
P0A2I3	P0C559
P0A2I3	P9WG45
P0A2I3	Q59533
P0A2I3	C5C7X8
P0DJL7	P0DJL7
P0DJL7	P9WMH1
P16114	P16114
P17556	P17556
P17556	P07001
P33038	P33038
P33038	P0A749
P33038	Q836E5
P54997	P54997
P71590	P71590
P72156	P72156
P9WG47	P9WG47
P9WG47	A0A0G2Q9F8
P9WG47	P0AES4
P9WHH9	P9WHH9
P9WHH9	P0A9P0
P9WHH9	P18925
P9WHH9	P14218
P9WHH9	P31052
P9WKE3	P9WKE3
P9WKE3	P14193
P9WKE3	P0A1V6
P9WKE3	P0A717
P9WKH1	P9WKH1
P9WMU1	P9WMU1
P9WPE5	P9WPE5
P9WPP7	P9WPP7
P9WQP7	P9WQP7
P9WQP7	Q15738
P9WQP7	P26439
P9WQP7	P14060
Q07607	Q07607
Q07607	Q8UGL3
Q07607	Q9X1K9
Q07607	P0A6L2
Q0K845	Q0K845
Q0K9H3	Q0K9H3
Q2YKV1	Q2YKV1
Q2YQA5	Q2YQA5
Q4UZF6	Q4UZF6
Q4ZMV1	Q4ZMV1
Q50LF0	Q50LF0
Q53080	Q53080
Q53080	P9WHU1
Q53080	Q53084
Q56415	Q56415
Q6MX01	Q6MX01
Q6WNP1	Q6WNP1
Q6WNP1	P54998
Q6WNP1	Q0ZIH5
Q6WNP1	A0A0C6DRW4
Q73RG3	Q73RG3
Q74P24	Q74P24
Q7CPF5	Q7CPF5
Q7CPF5	Q9H477
Q7CPF5	P0A9J6
Q8CY87	Q8CY87
Q8KES3	Q8KES3
Q97ML3	Q97ML3
Q9CIV7	Q9CIV7
Q9CIV7	P76014
Q9F0R1	Q9F0R1
Q9L9D7	Q9L9D7
Q9RA63	Q9RA63
Q9RA63	P63284
P08842	P08842
O62680	O62680
O62680	P13987
O62680	O77541
P81294	P81294
P81294	P18632
P51688	P51688
Q7YSJ4	Q7YSJ4
Q39487	Q39487
Q8TCT8	Q8TCT8
P09871	P09871
P14314	P14314
P01218	P01218
P0C292	P0C292
P0C292	Q4LCT0
P0C292	P0C293
P0C292	Q4LCS9
P0C292	Q4LCS8
O96910	O96910
P82943	P82943
P82943	P13500
P82943	O00585
P82943	P80325
P82943	O00175
P82943	P10855
P82943	P50229
P82943	Q16627
P82943	P97884
P82943	O89093
P26729	P26729
P26729	P12707
P26729	P12706
P26729	P01326
P26729	P01315
P26729	P01318
P26729	P01325
P26729	P01323
P26729	P01322
P26729	P01308
P26729	P01311
P26729	P17715
P26729	P81025
P26729	P01335
P26729	P04667
P26729	P01342
P06867	P06867
P06867	P00747
P01036	P01036
P01036	P28325
P01036	P01034
P19438	P19438
P01588	P01588
Q05443	Q05443
O43155	O43155
P15261	P15261
P54837	P54837
P02784	P02784
P02784	P81019
P01048	P01048
P01048	P01045
Q13145	Q13145
Q15465	Q15465
Q75N35	Q75N35
Q07654	Q07654
Q07654	P04155
P02782	P02782
P02782	P02781
Q10ST8	Q10ST8
Q6UXB1	Q6UXB1
P79208	P79208
P22057	P22057
P22057	P41222
P22057	O02853
P22057	P80188
P17164	P17164
O43653	O43653
P02670	P02670
Q2PGV8	Q2PGV8
Q2PGV8	Q8NJ73
Q2PGV8	P23360
Q2PGV8	P26514
Q2PGV8	P07528
Q2PGV8	P40943
Q9Y5U5	Q9Y5U5
Q9Y5U5	Q07011
P07093	P07093
P07093	P01008
P07093	P41361
P07093	Q90935
P07093	Q27085
P07093	P48595
Q9BXJ7	Q9BXJ7
P05164	P05164
Q13478	Q13478
Q966V2	Q966V2
Q63376	Q63376
Q9TTE1	Q9TTE1
Q9TTE1	P05545
Q9TTE1	Q9UK55
Q9TTE1	P31211
Q9TTE1	P22325
Q9TTE1	P08185
Q9TTE1	P12725
Q9TTE1	P01009
Q9TTE1	P23035
Q9TTE1	Q9N2I2
Q9TTE1	P05154
Q9TTE1	Q7TMF5
Q9TTE1	P05155
Q9TTE1	P49182
Q9TTE1	P05546
Q95VE9	Q95VE9
Q95VE9	P18959
P02727	P02727
P02727	P02724
P78581	P78581
Q6UXH1	Q6UXH1
Q99935	Q99935
Q9BZW8	Q9BZW8
A8QL52	A8QL52
A8QL52	J7H670
A8QL52	G8XQX1
A8QL52	X2JCV5
A8QL52	Q6TGQ8
A8QL52	P81382
A8QL52	P0CC17
A8QL52	P56742
A8QL52	P81383
P49921	P49921
P49921	P01148
P49921	P51918
P49921	P51925
P25942	P25942
P25942	Q92956
P02783	P02783
O00105	O00105
P80961	P80961
O48818	O48818
Q9H3T3	Q9H3T3
Q9H3T3	Q9NPR2
Q08738	Q08738
P19999	P19999
P19999	Q5U9S1
P19999	P23805
P19999	P35248
Q62192	Q62192
Q62192	Q99467
P0C1B3	P0C1B3
P35053	P35053
P35053	P35052
Q59XX2	Q59XX2
P07456	P07456
P07456	P10764
P07456	P01346
F1AWB0	F1AWB0
Q969H8	Q969H8
O14763	O14763
A0A0F7YZQ7	A0A0F7YZQ7
O02839	O02839
O02839	P15529
P34116	P34116
P01579	P01579
Q08334	Q08334
Q9NR61	Q9NR61
O82337	O82337
O82337	Q9M373
Q9NPA0	Q9NPA0
P01177	P01177
P01177	P13389
P01177	Q00945
Q8BHN3	Q8BHN3
P24792	P24792
P24792	P14133
Q64610	Q64610
Q64610	W8E7D1
Q64610	O14638
Q23997	Q23997
Q9NTU7	Q9NTU7
Q9NTU7	Q6UW01
P36438	P36438
Q41358	Q41358
Q41358	P82683
Q41358	P02879
Q41358	Q9M653
P55083	P55083
P55083	O70165
P55083	Q9U8W7
P55083	O00602
P55083	O75636
P09603	P09603
O95994	O95994
P18428	P18428
P18428	P17454
P18428	P17213
P00652	P00652
P02770	P02770
P29022	P29022
P29022	P21226
P29022	P06215
P29022	P24091
Q15399	Q15399
B8PYF3	B8PYF3
Q08380	Q08380
Q00017	Q00017
P19594	P19594
Q94734	Q94734
P13385	P13385
A0A1S6EK92	A0A1S6EK92
A0A1S6EK92	A0A1S6EK91
Q62632	Q62632
Q62632	Q12841
A0A3N2PQC3	A0A3N2PQC3
O75556	O75556
O75556	P02780
P13917	P13917
P13917	Q42369
Q6UX39	Q6UX39
P47178	P47178
P03973	P03973
P03973	P01174
P18658	P18658
Q02363	Q02363
Q02363	P41134
Q05086	Q05086
Q06124	Q06124
Q06124	P29350
Q13098	Q13098
Q13202	Q13202
Q13451	Q13451
Q13562	Q13562
Q13643	Q13643
Q13761	Q13761
Q13761	Q13950
Q13765	Q13765
Q14657	Q14657
Q15054	Q15054
Q15257	Q15257
Q15631	Q15631
Q3KP66	Q3KP66
Q56P03	Q56P03
Q5TA31	Q5TA31
Q6IA86	Q6IA86
Q6NUN9	Q6NUN9
Q6P2M8	Q6P2M8
Q6P2M8	Q8IW41
Q6P2M8	Q16644
Q6P2M8	P49137
Q6P2M8	Q14012
Q6P2M8	Q8IU85
Q6P2M8	Q16566
Q6P2M8	Q15759
Q6P2M8	Q16539
Q6P2M8	P53778
Q6P2M8	Q00532
Q6P2M8	Q92772
Q6P2M8	P31152
Q6P2M8	Q16659
Q6P2M8	P45984
Q6P2M8	P45983
Q6P2M8	Q9UBE8
Q6P2M8	Q8N5S9
Q6P2M8	Q9HBY8
Q6P2M8	P51817
Q6P2M8	Q9UBS0
Q6P2M8	Q15208
Q6PH85	Q6PH85
Q6PH85	Q96GG9
Q6PIY7	Q6PIY7
Q6ZYL4	Q6ZYL4
Q70CQ1	Q70CQ1
Q70CQ1	Q9H0E7
Q7L9L4	Q7L9L4
Q7Z4V5	Q7Z4V5
Q7Z5L9	Q7Z5L9
Q7Z6V5	Q7Z6V5
Q7Z7C7	Q7Z7C7
Q8IWT0	Q8IWT0
Q8IYT2	Q8IYT2
Q8N2I9	Q8N2I9
Q8NI51	Q8NI51
Q8TD31	Q8TD31
Q8TF42	Q8TF42
Q8TF42	P57075
Q8WVJ9	Q8WVJ9
Q8WY91	Q8WY91
Q92804	Q92804
Q969S3	Q969S3
Q96C86	Q96C86
Q96D46	Q96D46
Q96N95	Q96N95
Q96N95	Q8NF99
Q96PV7	Q96PV7
Q96RE7	Q96RE7
Q96S55	Q96S55
Q99471	Q99471
Q99952	Q99952
Q9BQA1	Q9BQA1
Q9BR61	Q9BR61
Q9BRS8	Q9BRS8
Q9BT81	Q9BT81
Q9BUB5	Q9BUB5
Q9BUL5	Q9BUL5
Q9BYV6	Q9BYV6
Q9BYV9	Q9BYV9
Q9BZS1	Q9BZS1
Q9C098	Q9C098
Q9H000	Q9H000
Q9H2G4	Q9H2G4
Q9HCU9	Q9HCU9
Q9NPF5	Q9NPF5
Q9NQE9	Q9NQE9
Q9NQV5	Q9NQV5
Q9NRW3	Q9NRW3
Q9NRW3	Q9GZX7
Q9NRW3	P31941
Q9NRW3	P41238
Q9NTM9	Q9NTM9
Q9UBB9	Q9UBB9
Q9UBT2	Q9UBT2
Q9UF56	Q9UF56
Q9UHY7	Q9UHY7
Q9UKT7	Q9UKT7
Q9UM82	Q9UM82
Q9UQ13	Q9UQ13
C9JE40	C9JE40
Q47454	Q47454
Q47454	P12376
Q47898	Q47898
Q47898	P30919
Q47898	P20933
Q51371	Q51371
Q5SK82	Q5SK82
Q8VPD4	Q8VPD4
Q9I194	Q9I194
Q9Z4P0	Q9Z4P0
Q9Z4P0	Q07WU7
V5YM14	V5YM14
V5YM14	B2RKV3
V5YM14	F8WQK8
A0A0A1H8I4	A0A0A1H8I4
A0A0H3K686	A0A0H3K686
A0A0H3K686	P02976
C6XZB6	C6XZB6
L0DSL2	L0DSL2
O53361	O53361
P0CZ00	P0CZ00
P0DX29	P0DX29
P14756	P14756
P17792	P17792
P21171	P21171
P21171	O07532
P21171	P54421
P21171	P39046
P35482	P35482
P35482	K4LAH1
P84888	P84888
P9WP43	P9WP43
P9WP43	P9WP41
Q52VH2	Q52VH2
Q6F3I7	Q6F3I7
Q8GFE2	Q8GFE2
Q8KRU5	Q8KRU5
Q8KRU5	P42251
Q9AQS0	Q9AQS0
A3DH67	A3DH67
A3DH67	P0C2S5
D3RVD4	D3RVD4
O07834	O07834
O33599	O33599
P01555	P01555
P09545	P09545
P11439	P11439
P21163	P21163
P24474	P24474
P81186	P81186
P81186	P33937
P81186	P39185
P83513	P83513
P84887	P84887
P84887	P00372
P84887	P22641
Q06749	Q06749
Q06749	Q9L7P2
Q0TV31	Q0TV31
Q47910	Q47910
Q7MSJ8	Q7MSJ8
Q8NNK2	Q8NNK2
Q9I596	Q9I596
Q9L5A4	Q9L5A4
Q9LCB9	Q9LCB9
Q9LCB9	Q8RS40
Q9S1G7	Q9S1G7
Q9S1G7	Q8GPG1
Q9S1H0	Q9S1H0
Q9S1H0	Q8GPG4
E1XUJ2	E1XUJ2
G1UBD1	G1UBD1
G1UBD1	Q04508
I0J1I6	I0J1I6
P07662	P07662
P0C1A9	P0C1A9
P0C2T2	P0C2T2
P23836	P23836
P23836	P69228
P23836	P36556
P23836	P9WGM1
P23836	P9WGM9
P23836	P9WGM7
P23836	P0AE88
P23836	P0A9Q1
P23836	P0AA16
P25522	P25522
P27306	P27306
P29745	P29745
P29745	P26311
P29745	P0C2T7
P31572	P31572
P32170	P32170
P32173	P32173
P36553	P36553
P36979	P36979
P37552	P37552
P37552	Q7CP78
P37552	P0AF93
P37564	P37564
P38032	P38032
P38032	P10902
P38393	P38393
P40711	P40711
P50456	P50456
P54503	P54503
P54503	O31602
P60716	P60716
P63224	P63224
P64461	P64461
P64483	P64483
P76273	P76273
P77218	P77218
P77399	P77399
P77555	P77555
P77718	P77718
P94443	P94443
Q46896	Q46896
Q46920	Q46920
Q47155	Q47155
Q47155	P58965
P19582	P19582
P69910	P69910
P54375	P54375
O34481	O34481
O34580	O34580
O34942	O34942
P0ABT2	P0ABT2
P0ACG1	P0ACG1
P0ACG1	P0ACF8
P32728	P32728
P37469	P37469
P50729	P50729
P50729	O34748
P0ACF0	P0ACF0
P0ACF0	P08821
P0ACF0	P0A6X7
P0ACF0	P0A6Y1
P0C093	P0C093
O34720	O34720
O34720	Q795Y4
P05648	P05648
P05648	P03004
P37455	P37455
P94461	P94461
P0A6R3	P0A6R3
P37542	P37542
P0A9L3	P0A9L3
P0A9L3	P45523
P0A9L3	P51752
P0A9L3	Q70YI1
P0A9L3	Q5ZXE0
P0A862	P0A862
P37869	P37869
P37869	P0A6P9
P39801	P39801
P07908	P07908
P32397	P32397
P0AC55	P0AC55
P27278	P27278
P33599	P33599
P33602	P33602
P0A6Z3	P0A6Z3
P39405	P39405
P0CE47	P0CE47
P0CE47	P0CE48
P0CE47	Q5SHN6
P0CE47	P14081
P69853	P69853
P06616	P06616
P06616	P42182
P31473	P31473
P43341	P43341
P28366	P28366
P28366	P10408
P0ADN0	P0ADN0
P0AFM6	P0AFM6
P0A9V1	P0A9V1
P23830	P23830
P0A9J0	P0A9J0
O00206	O00206
D4A540	D4A540
Q6UW88	Q6UW88
P33487	P33487
P33487	P13689
O43852	O43852
O43852	Q05186
Q8MI01	Q8MI01
O43278	O43278
P23515	P23515
P38574	P38574
P51460	P51460
P51460	O77801
P05067	P05067
Q6ASY2	Q6ASY2
C0H9B6	C0H9B6
P00724	P00724
P00724	Q96TU3
P98066	P98066
O14798	O14798
P25289	P25289
P52823	P52823
O35701	O35701
Q8NBN3	Q8NBN3
Q6UW10	Q6UW10
Q9U3Z3	Q9U3Z3
Q02567	Q02567
Q90WJ7	Q90WJ7
P86929	P86929
Q90W22	Q90W22
Q39649	Q39649
P48819	P48819
P48819	P29788
Q76CA2	Q76CA2
P29392	P29392
P04844	P04844
Q96S96	Q96S96
A1IKL2	A1IKL2
P63152	P63152
P63152	P63153
P01005	P01005
P17690	P17690
P42292	P42292
Q9N4D8	Q9N4D8
P00739	P00739
P00739	P00738
Q8WP90	Q8WP90
O76818	O76818
O76818	A8CL69
Q765P3	Q765P3
Q765P3	Q9VYX7
P80108	P80108
Q5UCC4	Q5UCC4
O14773	O14773
A0A023W140	A0A023W140
P41543	P41543
Q9M0S4	Q9M0S4
Q6T6C2	Q6T6C2
Q8WXF3	Q8WXF3
P80463	P80463
Q9JI59	Q9JI59
Q9JI59	Q9BX67
Q9JI59	Q9Y624
P93484	P93484
Q3L1D1	Q3L1D1
Q3L1D1	V5NC32
P13671	P13671
L8BRS3	L8BRS3
L8BRS3	Q9S8P4
L8BRS3	Q94EG3
L8BRS3	Q942A7
L8BRS3	Q6YZY5
P12268	P12268
P12268	P20839
P19338	P19338
P46781	P46781
P46782	P46782
P52564	P52564
P52564	P45985
P52564	O14733
P52564	Q13043
P52564	Q9Y6E0
P62244	P62244
P62263	P62263
P62308	P62308
P62316	P62316
P62701	P62701
P86452	P86452
Q00169	Q00169
Q00994	Q00994
Q00994	Q9HBH7
Q00994	Q9BXY8
Q01954	Q01954
Q14019	Q14019
Q16236	Q16236
Q53FT3	Q53FT3
Q6ZN17	Q6ZN17
Q8IXQ6	Q8IXQ6
Q8NDF8	Q8NDF8
Q8NDF8	Q5XG87
Q8TDR2	Q8TDR2
Q8WWH5	Q8WWH5
Q96AQ6	Q96AQ6
Q99547	Q99547
Q9BTM9	Q9BTM9
Q9BXP5	Q9BXP5
Q9H790	Q9H790
Q9NQT4	Q9NQT4
Q9NQT5	Q9NQT5
Q9UGY1	Q9UGY1
A6ND36	A6ND36
B2RXF5	B2RXF5
O75920	O75920
P23490	P23490
P42768	P42768
P42768	O00401
P46777	P46777
P55786	P55786
P55786	A2RI32
P60709	P60709
Q13206	Q13206
Q13868	Q13868
Q13895	Q13895
Q15628	Q15628
Q6DKJ4	Q6DKJ4
Q6VN20	Q6VN20
Q70EL2	Q70EL2
Q70EL2	Q9Y5T5
Q8IV48	Q8IV48
Q8N6M6	Q8N6M6
Q92747	Q92747
Q92747	O15143
Q99543	Q99543
Q9BWE0	Q9BWE0
Q9BWE0	Q14587
Q9BWE0	Q9Y473
Q9BWE0	Q09FC8
Q9BWE0	Q6U7Q0
Q9BWE0	Q6ZN55
A1L3X0	A1L3X0
A2A2Y4	A2A2Y4
A2RU14	A2RU14
A5PLL7	A5PLL7
A5PLL7	Q9AE87
A6NI61	A6NI61
B1AL88	B1AL88
D3W0D1	D3W0D1
O00237	O00237
O00322	O00322
O00337	O00337
O00337	O43868
O00337	Q9HAS3
O00400	O00400
O00453	O00453
O14548	O14548
O14788	O14788
O14804	O14804
O14925	O14925
O14949	O14949
O14975	O14975
O14975	Q9Y2P5
O15162	O15162
O15162	Q9NRQ2
O15247	O15247
O15260	O15260
O15269	O15269
O15400	O15400
O15400	Q86Y82
O15554	O15554
O42043	O42043
O43526	O43526
O43526	O43525
O43526	Q9NR82
O43529	O43529
O43556	O43556
O43581	O43581
O43581	Q9BQS2
O43761	O43761
O43808	O43808
O43826	O43826
P80549	P80549
P80549	P00101
P80549	P00099
P80549	P15452
Q05811	Q05811
Q05918	Q05918
Q06987	Q06987
Q06987	Q09056
Q51485	Q51485
Q57483	Q57483
Q58AD3	Q58AD3
Q6RUF5	Q6RUF5
Q934G3	Q934G3
B7JAQ0	B7JAQ0
E3PPC4	E3PPC4
E3PPC4	P0ABW7
O25825	O25825
O30434	O30434
O30434	A9Q0M7
O30434	Q0Z8B6
O52179	O52179
O52179	O52057
O66515	O66515
O66515	P69681
P02970	P02970
P07767	P07767
P0A074	P0A074
P0A074	P31716
P0A074	O54081
P0C8Z8	P0C8Z8
P0DMR4	P0DMR4
P0DMR4	G3XDA8
P13421	P13421
P13421	Q03011
P18477	P18477
P19250	P19250
P22266	P22266
P22940	P22940
P23135	P23135
P24037	P24037
P26501	P26501
P38059	P38059
P40601	P40601
P44883	P44883
P44883	P0AEE5
P49051	P49051
Q05156	Q05156
Q05156	P0C2S1
Q06110	Q06110
Q06110	P01551
Q06110	P01549
Q06110	P0A3R9
Q2FXC4	Q2FXC4
Q2FXC4	Q2FXC3
Q2FXC4	Q2FXC8
Q2FXC4	Q2FXC2
Q5HEA4	Q5HEA4
Q5HEA4	Q2FV52
Q5HEA4	P60158
Q5HEA4	Q5HCY1
Q9KK91	Q9KK91
P37648	P37648
P54484	P54484
P76172	P76172
O31737	O31737
P0AFH8	P0AFH8
O31803	O31803
P94356	P94356
P0A8X2	P0A8X2
P96729	P96729
P39187	P39187
P76520	P76520
P24121	P24121
Q59639	Q59639
Q7M1T6	Q7M1T6
P01092	P01092
P12903	P12903
P12903	Q47223
P12903	P12266
P12903	P37921
P12903	Q04681
P50470	P50470
P50470	P02977
P50470	P16947
P80603	P80603
P80603	P10384
P80604	P80604
P00779	P00779
P0A1N4	P0A1N4
P12061	P12061
P12690	P12690
P15488	P15488
P22865	P22865
P46739	P46739
P84838	P84838
Q05044	Q05044
Q9Z4N3	Q9Z4N3
Q9Z4N3	Q47459
A2TJI4	A2TJI4
P04737	P04737
P07017	P07017
P07017	P02942
P07017	P05704
P07017	P39214
P07017	P39215
P09835	P09835
P0A8Q3	P0A8Q3
P0AAM1	P0AAM1
P0AB98	P0AB98
P0ABB8	P0ABB8
P0ABV6	P0ABV6
P0AC44	P0AC44
P0AFA2	P0AFA2
P0AFA7	P0AFA7
P0AFJ7	P0AFJ7
P0AFT2	P0AFT2
P0AFU0	P0AFU0
P0AG99	P0AG99
P0AGE4	P0AGE4
P0AGM7	P0AGM7
P0AGM7	P75892
P11350	P11350
P11350	P0AF32
P15029	P15029
P15029	P06609
P15029	P15030
P16655	P16655
P23930	P23930
P27125	P27125
P27434	P27434
P30844	P30844
P30844	A0A0H2ZNH9
P30844	P9WGK5
P30844	P08400
P30844	Q82YZ0
P31135	P31135
P31466	P31466
P31466	P0AF52
P33231	P33231
P33231	Q46839
P33650	P33650
P37624	P37624
P39277	P39277
P39838	P39838
P46022	P46022
P69054	P69054
P69490	P69490
P75831	P75831
P76278	P76278
P76334	P76334
P76387	P76387
P76576	P76576
P77589	P77589
P77589	Q51955
Q45588	Q45588
O31774	O31774
O34521	O34521
O34521	P09323
O34521	P39816
O34521	P20166
O34521	P69786
P02919	P02919
P0A8H3	P0A8H3
P0A8H3	A0A0H3LM39
P0ABV2	P0ABV2
P0AEJ4	P0AEJ4
P0AEJ4	P0AE82
P0AEX7	P0AEX7
P0AF16	P0AF16
P0AFD4	P0AFD4
P0AFE8	P0AFE8
P0AFF0	P0AFF0
P0AFF2	P0AFF2
P0AFR2	P0AFR2
P0AG93	P0AG93
P0AGK1	P0AGK1
P0AGK1	Q96H96
P10905	P10905
P11557	P11557
P12946	P12946
P14377	P14377
P15993	P15993
P15993	P24207
P15993	P0AAE0
P15993	P27837
P15993	P25527
P15993	P46349
P15993	P25737
P16926	P16926
P19934	P19934
P20966	P20966
P20966	O31645
P20966	P54745
P21865	P21865
P21865	P9WGL3
P25714	P25714
P27243	P27243
P29018	P29018
P29131	P29131
P31553	P31553
P33226	P33226
P37002	P37002
P37484	P37484
P37653	P37653
P39301	P39301
O00629	O00629
O00629	O00505
O00629	P52294
O15105	O15105
O15105	O43541
O15350	O15350
O43396	O43396
O60285	O60285
O60479	O60479
O60516	O60516
O60516	Q13541
O60516	Q13542
O94992	O94992
O95376	O95376
O95644	O95644
O95644	Q13469
O95644	Q14934
P00441	P00441
P06400	P06400
P11473	P11473
P11473	O75469
P11473	Q14994
P14618	P14618
P19838	P19838
P19838	Q00653
P28065	P28065
P28065	P28072
P28065	P28074
P28065	P28062
P28065	A5LHX3
P47974	P47974
P49588	P49588
P49588	P00957
P50616	P50616
P54577	P54577
P55039	P55039
P55039	Q9Y295
P61599	P61599
P61599	Q9BSU3
P61599	P41227
P62380	P62380
P62861	P62861
Q03933	Q03933
Q06330	Q06330
Q06416	Q06416
Q06416	Q01860
Q06416	P09086
Q13112	Q13112
Q13620	Q13620
Q14872	Q14872
Q15649	Q15649
Q15915	Q15915
Q15915	O60481
Q15915	O95409
Q16526	Q16526
Q16526	Q49AN0
Q3YEC7	Q3YEC7
Q4AE62	Q4AE62
Q52LJ0	Q52LJ0
Q53EL6	Q53EL6
Q59H18	Q59H18
Q5HYK7	Q5HYK7
Q5VTB9	Q5VTB9
Q5VVJ2	Q5VVJ2
Q5VZV1	Q5VZV1
Q6IQ49	Q6IQ49
Q6PCT2	Q6PCT2
Q6PI77	Q6PI77
Q6PID8	Q6PID8
Q7LFL8	Q7LFL8
Q7Z4G1	Q7Z4G1
Q7Z7F0	Q7Z7F0
Q86T24	Q86T24
Q86VV4	Q86VV4
Q86VV4	Q9H6Z4
Q8IUH3	Q8IUH3
Q8IZD4	Q8IZD4
Q8N108	Q8N108
Q8N196	Q8N196
Q8N196	Q9UIU6
Q8N5U6	Q8N5U6
Q8N9I9	Q8N9I9
Q8TBZ3	Q8TBZ3
Q8TCB7	Q8TCB7
Q8TD19	Q8TD19
Q8WWM9	Q8WWM9
Q92750	Q92750
Q969P5	Q969P5
P0DJM0	P0DJM0
P12676	P12676
P12676	P22637
P15917	P15917
P71451	P71451
P9WIR7	P9WIR7
P9WIR7	P80069
Q51372	Q51372
Q5LT66	Q5LT66
Q5Y818	Q5Y818
Q72EC8	Q72EC8
Q83EK8	Q83EK8
Q8DG60	Q8DG60
Q8L172	Q8L172
Q8L172	Q848J2
Q8L172	Q8GJ27
Q8RLX0	Q8RLX0
Q8RLX0	Q8KDM7
Q8RLX0	Q939U1
Q8RLX0	O33434
Q9HU05	Q9HU05
Q9X6B0	Q9X6B0
Q9X6B0	Q5NGV7
P02924	P02924
P04957	P04957
P0AFK9	P0AFK9
P0AFK9	P31133
P31697	P31697
P46923	P46923
P46923	P33225
P46923	Q52675
P46923	Q57366
P46923	O87948
P46923	P18775
P0A908	P0A908
P0AFI5	P0AFI5
P0AFI5	P35150
P17315	P17315
P96740	P96740
P04816	P04816
P04816	P0AD96
P04816	P21175
P0AG82	P0AG82
P36560	P36560
P37387	P37387
P77747	P77747
P77747	P02931
P77747	P06996
P77747	A0A2S4MYF8
P77747	A0RZH5
P76773	P76773
Q02114	Q02114
P08331	P08331
P08750	P08750
P08750	P08506
P08750	P0AEB2
P08750	P39042
A0QR29	A0QR29
A6QIG2	A6QIG2
A6QIG2	Q53599
E1VBK1	E1VBK1
O33731	O33731
O54308	O54308
P00083	P00083
P00083	P00082
P00083	D5QVH0
P06279	P06279
P06279	P06278
P06279	P00692
P06279	P19571
P07497	P07497
P07497	P00115
P07497	P46445
P0A1V8	P0A1V8
P0A1V8	P13661
P0A3V1	P0A3V1
P15644	P15644
P24059	P24059
P26877	P26877
P26877	P26876
P26877	P0DUB8
P26877	P22088
P26877	P25275
P31746	P31746
P31746	P31835
P31746	P31797
P31746	P19531
P31746	P30921
P31746	P43379
P31746	P09121
P31746	P17692
P31746	P26827
P81238	P81238
P81238	Q9RQB9
P82594	P82594
